ID,line,fit,viatech,viano,pins,layno,sq,dens,dbl,netno,comp,category,ver,complexity,scope,type,duration,level
295634,bis,sns,tht,4,20,2,0.21,0.148,dbl,4,6,RG,R2,Medium,MOD-MINOR,FF,73,5
229824,ced,mlb,astk,85589,5574,12,71.57,0.180,dbl,728,1454,RG,B0,High,NEW BRD,FF,119,5
240413,tgr,mlb,astk,90198,5943,12,80.28,0.189,dbl,814,1541,RG,E0,Medium,MOD-MAJOR,FF,68,5
182858,tgr,mlb,astk,62689,5792,12,80.87,0.195,dbl,813,1403,RG,R2,High,MOD-MAJOR,FF,44,5
168136,tgr,mlb,astk,63178,5792,12,80.87,0.195,dbl,813,1403,RG,B1,High,MOD-MAJOR,FF,71,5
133764,ctr,mlb,astk,90945,5764,12,80.28,0.195,dbl,781,1455,RG,B0,High,NEW BRD,FF,86,5
307871,sqa,bb,tht,6,12,2,0.17,0.196,sgl,6,2,RG,B0,Low,MOD-MINOR,FF,8,3
306338,tgr,mlb,astk,103219,5711,12,80.01,0.196,dbl,812,1402,RG,E2,High,MOD-MINOR,FF,48,5
328206,tgr,mlb,astk,103329,5718,12,80.01,0.196,dbl,810,1405,RG,D0,High,MOD-MAJOR,FF,63,5
294312,sqa,bb,tht,6,12,2,0.17,0.196,sgl,6,2,RG,B0,Low,NEW BRD,FF,72,5
266783,tgr,mlb,astk,97232,5709,12,80.28,0.197,dbl,817,1401,RG,E0,High,MOD-MAJOR,FF,75,5
295796,tsk,mlb,astk,102838,9484,12,142.77,0.211,dbl,1346,2173,RG,M0,High,NEW BRD,FF,85,5
260121,vns,mlb,cor_stk,10123,2680,8,42.83,0.224,dbl,357,801,RG,D0,High,MOD-MINOR,FF,12,5
181733,vns,mlb,cor_stk,10172,2680,8,42.83,0.224,dbl,361,799,RG,B3,High,MOD-MAJOR,FF,15,5
244427,vns,mlb,cor_stk,10159,2680,8,42.83,0.224,dbl,357,801,RG,E0,High,MOD-MAJOR,FF,31,5
46378,vns,mlb,cor_stk,10262,2652,8,42.83,0.226,dbl,353,777,RG,M00,Medium,NEW BRD,FF,124,5
124977,vns,mlb,cor_stk,10200,2645,8,42.83,0.227,dbl,353,773,RG,DE,High,MOD-MAJOR,FF,39,5
150097,vns,mlb,cor_stk,10220,2646,8,42.83,0.227,dbl,348,773,RG,R2,Low,MOD-MINOR,FF,44,5
